8,can you watch home and away in the northern territory and what channel?,can you watch home and away in northern territory,I assume so. On network 7
5,how do I set up a yahoo account for another person on  my computer?,,"The first thing would be to log off of the account in which you are currently signed into.  At that point, you can set up another account, log off of that account, and repeat as many times as you would like."
5,I want to establish an archive with a keyword search facility. Which software is best? Where can I obtain it?,"I make short video features.\\nI want to archive written notes on each shot, interview clip etc.\\nI want to be able to tap in a keyword and for the corresponding entries to appear.\\nIf possible, the archive could also contain still photos with their descriptions.","Microsoft Access is excellent at creating databases in a simple home based environment. You can buy at through any Windows Office package (the later, the more advanced). There you can go through a Database Wizard that gives you a step by step on how to create your own Database. With this database, you can literally store all your documents, videos, and pictures in one thing and can be accessed through one search. Though this will take some time as you must locate all file locations and provide descriptions / keywords for each."
8,Does anyone else watch playmania on GSN and never get on??,I have been trying and trying everyday it has been on and never gotten trough!\\n\\nPlus do you think Mel Peachy is good looking???,"yes i have tryed ever since it has been going and i still have never got on but instead of text messeging them and it charging 0.99 to your phone go to www.gsn.com/playmania and you can get on for free, or at least try to get on, they like randomly pick you or something i guess we are not lucky enough... hope u get on soon.. and also my brother has like the biggest crush on Mel... she is a pretty lady."
2,where can i find pictures of wildlife in iraq?,i would like to be able to identify animals and reptiles while deployed in iraq,These blogs have links to birds from Iraq. Very nice photographs.\\nhttp://www.birderblog.com/post.php?id=1009\\nhttp://birdingbabylon.blogspot.com/2005_02_01_birdingbabylon_archive.html\\nhttp://www.awrc.org/iraqi%20owl%20story.htm
3,"When I feel very low ,I tell myself may be I will die tomorrow and it helps.Do you think I am abnormal?",,"Well, my suggestion is to talk to your doctor... or talk to a pharmacist you trust... someone in the ""professional"" field.  Be assertive... for yourself.  Realize that you could probably benefit from some antidepressants.\\nStressful life events trigger mental health issues.\\nDo NOT be stygmatized by the public.\\nBe very proactive and take charge of your life.\\nI'm sure you want to be happy again... there's no need to feel this way."
1,"One minute Azan on loud-speakers is objected often for disturbing people, why not the songs played in temples?","This is a sensitive question, but muslims call to prayer of hardly 1 minute duration is objected, and they play hours of movie songs in temples from early morning onwards..people are not disturbed then?","Azan's original purpose is to let Muslims know that it's pray time.\\nLogic says that it can be replaced with any other means, but it has some spiritual value in the hearts of Muslims, so it is still heard till now. It became problem when voices became bad and it isnt an issue whether the Moazen (the man who says the Azan) has bad voice or not. also, too many megaphones ( i m talking about Islamic countries) are calling at the same time in a small area making a big noise because of interference.\\ntemples or churches uses indoor loudspeakers, i think."
2,Dose anybody know if there is any classification of ophthalmology journals according to their authority?,,You need to speak to a librarian at a medical college. Libraries will have several related journals and a librarian can give you some insight into which of the journals are preferred and respected. It may be that some journals are more authoritative on certain topics than others -- A librarian should know that.
2,Sleeping pills......?,"I think I am becoming dependent on sleeping pills, such as Ambien & Lunesta.I have to keep increasing the dose in order for it to work.",Get off the tablets and try a natural remedy.  I suggest Lavender Oil on your pillow.  It works for me.  So try it!
5,What is the best free software to get rid of spyware?,"I cant connect to any secure server sites. For example I cant log into any of my banking, email, or anything that requires a password. It just started happening out of the blue. Can anybody help. I cant figure out how to fix the problem. Even with a system restore doesnt help. Somebody told me it could be spyware","For spyware solutions, Spybot Search & Destroy works very well.  If you are willing to try Microsoft's beta, you can also consider defender.  Both are currently free.\\n\\nhttp://www.safer-networking.org\\nhttp://www.microsoft.com/downloads/details.aspx?FamilyID=435bfce7-da2b-4a6a-afa4-f7f14e605a0d&DisplayLang=en\\n\\nAlways remember that an ounce of prevention is worth more than a pound of cure.  That said, do not visit unknown websites, open suspicious emails and attachments, or click on links that you don’t know what it’s for.  Also, always keep your anti-spyware and antivirus programs on.  These simple guidelines will save you from hours of headaches with pop-up ads and computer slow down.\\n\\nGood luck and have a nice day!"
5,Does anybody know why every mouse i try it keeps clicking back page and right clicking by itself please help?,I've checked everything and everywhere and come up with nothing please please help if you might have any idea why every mouse I've hooked up clicks back page and right clicks on it's own.,java virus causes that.  dump your java cache and that should fix it.
6,Who is better Kobe Bryan or Michael Jordan or Allen Iverson?,,"Michael Jordan and Kobe Bryant are both amazing NBA basketball players. Allen Iverson shouldn't even be associated with them... he's just Allen ""crybaby"" Iverson!"
2,How do you calculate linearity?,How is terminal endpoint linearity calculated and how is best fit line calculated?,"I don't know what you mean by terminal endpoints linearity.  I've never heard of it.  Are you simply linearizing a function?  If so, you should be able to see how to do it in any calculus text.  As for the line of best fit, check out the least-squares method."
7,What a good bloody Anime?,I want blood and guts action action action \\n \\nNo boring story.. bla bla bla,Battle of the Vixens\\n\\nFullmetal Alchemist\\n\\nFruits Basket(psyche.)\\n\\nBloodBloodStorm I \\n\\nYotsubato(doublepsyche.)
2,Can anyone help?,"An ideal gas occupies a volume of 2.2 cm3 at 20°C and atmospheric pressure. Determine the number of molecules of gas in the container. = 5.65e19\\n\\nIf the pressure is reduced to 2.6  10-11 Pa (an extremely good vacuum) while the temperature remains constant, how many moles of gas remain in the container?","use PV=nRT, the ideal gas law, and some algebra\\n\\nn= number of moles present.  Each mole contains 6.02 * 10^23  atoms\\n\\nn=PV/RT and remember to convert everything to their proper units before doing the calculation ie change celcius to Kelvin etc"
4,does anyone know where the expression dead ringer comes from.. answer supplied when first correct answer given,,"Comes from England. There was a time when 'Death"" wasn't such a sure thing, but the body was buried anyway. A bell was included in the coffin. IF a buried ""undead"" awoke, he/she would ring the bell. Attendents in the grave yard, hopefully would hear and dig them up...hence, a ""dead person"" was ringing a bell."
8,Who did that?,,Schwarzeneeger did it then Chuck norris challenged him to a fight in the ball pit at Chuck E Cheese's and roundhouse kicked him to the sun
9,Anybody else want to be my penpal?,"Anybody whos 13, likes to play basketball (and tons of other sports), and really loves to go shopping!",I'll be your penpal my email is rbpower11@yahoo.com Ilove basket ball and other sports especially SHOPPING!!!!!!!!!!!!!!!!!!
6,Who won 1980 olympics womans hockey?,,"Women's hockey made its Olympic debut at the 1998 Games in Japan.\\n\\nWomen and girls have taken to ice hockey in unprecedented numbers since the early 1990s. Female leagues and co-ed programs have changed the face of the game in many communities, and elite women's hockey has emerged as an intercollegiate and Olympic sport.\\n\\n\\nthere were Olympic games in 1980\\nThe 1980 Winter Olympics, officially known as the XIII Olympic Winter Games, were held in 1980 in Lake Placid, New York, United States of America. Another candidate city was Vancouver-Garibaldi, British Columbia, Canada; they withdrew before the final vote.\\nThe 1980 Summer Olympics, officially known as the Games of the XXII Olympiad, were held in Moscow in the Soviet Union. Another candidate in the bid to organize the Olympics was Los Angeles. The choice between them was made on October 23, 1974 on the 75th IOC session. Moscow defeated Los Angeles by 39 votes to 20. The yachting events were held in Tallinn; preliminary matches and the quarter-finals of the football (soccer) tournament were held, besides Moscow, at the stadiums of Leningrad, Kiev, and Minsk."
4,I am very curious...@@~?,Does the pupils in your country have any Chinese courses?\\nI come from Taiwan and my school makes the most of English courses.I only want to know.Please tell me.\\nP.S.If I use some erratum...don't  feel curious.Thanks~^^~,"The schools don't usually have Chinese classes, but many American children who have Chinese heritage take Chinese classes outside of school. There are special programs and courses for studying Chinese, Japanese, and many other languages, since parents don't want their children to lose sight of their heritage."
7,"what is the meaning of staff turn over in call centers , what is call center , how to give the interview inmnc",,"You can easily get answers to your questions by going to any search engine. For your guidance the following is copied from the sources mentioned below.\\n\\nA call centre is a centralised office of a company that answers incoming telephone calls from customers. A call center may be an office that makes outgoing telephone calls to customers (telemarketing). \\nCall centres are generally set up as large rooms, with work stations that include a computer, a telephone set (or headset) hooked into a large telecom switch and one or more supervisor stations. It may stand by itself or be linked with other centres. It may also be linked to a corporate data network, including main frames, microcomputer and LANs. Increasingly, the voice and data pathways into the centre are linked through a set of new technologies called CTI, or computer-telephony integration.\\n\\nHow to face an intrview:\\nKnow where to look for jobs and what are the requirements.  \\nKnow your skills,knowledge and personality.  \\nKnow your potential employer.  \\nHave a positive attitude.  \\nMake use of effective body language.  \\nMake the interviewer TICK.  \\nHandle awkward questions.  \\n \\nMost of the job interviewers wait for a signal from you regarding: \\nThe First Impressions - you can make and the rapport you can build.\\n\\nYour Mental Abilities - how quick you are on the uptake, your conceptual skills etc\\n\\nYour Knowledge and Experience - its relevance to the employing organization.\\n\\nYour Motivations How hard you have worked in the past and how effective you were you and will be?\\n\\nThe Adjustment Factor - how well would you cope with the organizational climate and the job demands."
8,ablas espanol?,,yo si pero la pregunta esta mal escrita! es hablas español?!
10,"Why don't illegals go back to their country, and fight like Americans did for our nation?","I keep hearing how these illegals love their own nation, yet they will not give it Respect.  They come to America and say horrible things about their nations, instead of staying and fixing the problems.\\nAmerican's stood their ground and created one of the, if not the freest nation in the world.  It's not perfect, by any means, the third world corruption that runs other nations runs rampid through our government.  Americans will make a stand when they have had enough, and it appears that time is at hand.\\nLet them return home before our laws change, and they have worse problems to deal with than angry Americans.  How about their homeland's rulers, how will they feel when they get not only you back, but a bill and fines for services rendered.  Deportation costs, and fines for any other criminal acrivity that you committed beyond crossing our borders.\\nAmerica will show it has a back bone against other invading nations.  Illegal Aliens are not immigrants, they are criminals.",All my people are worthy of respect. I just want the legal issues dealt with. Peace
4,What percent of teenagers work while they attend high school?,Does anyone know?,about 5 out of  20 of every highschool student of the age 16-19 works while in school that is about 25% kids work while in highschool
2,How difficult is it to study or ready philosophy?,Considering the nature of study of philosophy do you think a person studying in medical school could do justice by finding time to read philosophy along with studying Medicine?,"do justice?\\njust read ""the death and dying of socrates"" by Plato, Socrates didn't write anything down.\\nI think u know whether or not u can handle it.  I'd guess that studying and reading about those 2 subjects might use totally seperate parts of the brain, so maybe they could compliment each other and vary your brain activity"
6,Who thinks Oswaldo Sanchez will play on Sunday? GO MEXICO!!!?,,"I do. And I expect him to score too. Go Sanchez, Go!!"
4,Why Did The Renaissance Occur?,"I need to know the answer for an assignment for school... Someone please help! I've looked in so many places but all give different answers! Can someone give me a website, or just paste down here why the Renaissance started? Thanks and I appreciate it!!","The Renaissance has no set starting point or place; it happened gradually in different places at different times. Likewise, there is not a definite date or place marking the end of the Middle Ages. The start of the Renaissance is almost universally ascribed to Central Italy, however, especially the city of Florence. The poet Dante Alighieri (1265–1321) is often considered to be the first writer to embody the spirit of the Renaissance.\\n\\nCheck this out:\\nhttp://en.wikipedia.org/wiki/Renaissance"
4,How would you address a wide range of issue in your group?,,"Nobody knows what kind of group you are talking about, if they did they might be able to help."
6,is there any capoeria classes near me?,"i'm here in nothern california, kinda close to sacramento","At Lloyds Gym in Roseville, 702 Atlantic Street - \\nAnd Sierra COllege has a capoeria club as well"
5,Select Distinct will leave duplicates out.  Need a commmand to find duplicate in a column?,,"SELECT email,\\nCOUNT(email) AS NumOccurrences\\nFROM users\\nGROUP BY email\\nHAVING ( COUNT(email) > 1 )"
3,could someone receive HIV/AIDS if....?,"critical thinking questions from my science textbook:\\n\\n... if a male that has already gone through puberty were to where an older cousin's underwear(who is not infected with HIV/AIDS)\\n\\n.... if a male that has already gone through puberty were to where a friend's underwear(that has already gone through puberty and is not infected with HIV/AIDS).\\n\\nwhat i think is that since there is no HIV/AIDS in the first place, nothing is transmitted?\\n\\nyour help is appreciated, thank you",aids/hiv is transmitted through the exchange of bodily fluids through the bloodstream.
1,What are some Native American Manners?,,"This question is way to general. Every region has it's own unique culture. Some were war like other more peacful, the maya had cities more vast then any in the western world."
1,if both the law and weather permitted it?,"would you walk around outside naked, or are you ashamed of the body your god gave you?",I would and do.  It's lovely.\\n\\n(and the law does permit it here in the UK - We're just not so well blessed with the weather!)
9,Are there any single Latinos in Toronto who are looking for something serious?,,I am sure there are many. Try DA meetings.
3,How do you keep your feet smooth?,"My feet get dry easily, i have tested almost every lotion product in the market, but to no avail.Any suggestion?","I have found that the Avon cracked heel relief cream works really excellently on my feet & I was told by my partner that I have Ugly Troll Feet! So yeah, they now look really good.. so it must be a miracle lotion!!!"
2,“What makes the earth rotate?,,"The Monty Pithon had a song ""Money makes the world go round"" \\n\\nBut since the question is in the astronomy category, perhaps you are after the serious answer.  Momentum.  The earth condensed from particles at the beginning of the solar system, and all those small rocks were in orbit around the sun, thus had momentum in them.  By falling into one another, they gave that momentum to the accumulating mass, which started spinning.  Actually, all planets rotate, it is the norm rather than the exception.\\n\\nBeing in space, without anything substantial to slow it down, save from the moon and sun tidal effect, the earth keeps spinning since then."
7,Do You Kow How I Know Your Gay?,,"Because I answered this, give me 10 points. LOL"
1,as muslim how should we react for HIV.?,"how should we consider condom use, how should we see people living with it.","Well, how about using birth control like we are allowed to do?  Condoms are allowed.  God cares about our health, which is why he prohibited us from drinking and eating certain things.  For example, a woman just has a baby.  Right away, she gets pregnant again and that baby is born sickly and has many problems.  Right after that baby, another is born with even more problems.  Islam says we can not harm one another and we can not harm ourselves.  Women need time to recover from childbirth, and it's in the best interest of the next child so that it will be healthy and strong.  The mother also needs to get her strength back.  So, islamically, condoms are allowed.\\n\\nIf you are HIV positive, I think you should tell your spouse and get a divorce.  Don't take the chance of passing this on to him/her or your children.  Just think about them, care about them, think about their future and leave."
5,"How can I bypass parental controls, my dad is gone for a month and he accidentally blocked me from any sites!?",,"something tells me it wasn't accidental.\\n\\nNice try, though."
8,how old are the girls in the female group Tatu?,,Elena Sergeevna Katina is 21. Julia Olegovna Volkova is also 21.
9,I have married but I want to make simple relation with any other women.?,,There is no such thing as a simple relation with any other woman when you are married
7,Doe's anyone else have a problem with Natwest bank taking money out of your account for no reason???,"i'm checked my account online, I have no standing orders, cheques, DD's ......nothing to be paid out...what's going on!!!",I had a really nasty experience with Natwest years ago. I just bought my first car and I got down to approx £7 just after pay day. Natwest sent me a letter warning that I was close to my limit and charged me £15 which then put me into the red.\\n\\nI left Natwest shortly after. I'm with First Direct now and I've never had a problem in 15 years.
8,Bea Arthur or Estelle Getty ?,Who would make a better pornstar ?,well bea was better in bed
5,"how can I find the shortcut keys for letter ""enye"" in a laptop?",are they ALT XXX or something similar?,There is a little known utility called Character Map.  Goto your Start menu and select Accessories > System Tools > Character Map.  Find the character you want and select it as the character to copy.  Copy it and then paste it into the document you need it in.  Just make sure that your font in character map matches the type you are using in your document.  Good luck!
2,Why does iron rust?,,Because it wurked so hard it had to rust.
7,Who started the concept of INSURANCE?,,"Early methods of transferring or distributing risk were practiced by Babylonian traders as long ago as the 2nd millennium BCE. The Babylonians developed a system which was recorded in the famous Code of Hammurabi, c. 1750 BC and practiced by early Mediterranean sailing merchants. If a merchant received a loan to fund his shipment, he would pay the lender an additional sum in exchange for the lender's guarantee to cancel the loan should the shipment be stolen.\\n\\nA thousand years later, the inhabitants of Rhodes invented the concept of the 'general average'. Merchants whose goods were being shipped together would pay proportionally divided premium which would be used to reimburse any merchant whose goods were jettisoned during storm or sinkage.\\n\\nThe Greeks and Romans introduced the origins of health and life insurance c. 600 AD when they organized guilds called ""benevolent societies"" which acted to care for the families and funeral expenses of members upon death. Guilds in the Middle Ages served a similar purpose. The Talmud deals with several aspects of insuring goods.\\n\\nInsurance became far more sophisticated in post-Renaissance Europe, and specialized varieties developed.\\n\\nToward the end of the seventeenth century, the growing importance of London as a centre for trade led to rising demand for marine insurance. In the late 1680s, Mr Edward Lloyd opened a coffee house which became a popular haunt of ship owners, merchants and ships’ captains, and thereby a reliable source of the latest shipping news. It became the meeting place for parties wishing to insure cargoes and ships, and those willing to underwrite such ventures. Today, Lloyds of London remains the leading market for marine and other specialist types of insurance, but it works rather differently to the more familiar kinds of insurance. (See Lloyd's of London).\\n\\nInsurance as we know it today can be traced to the Great Fire of London, which in 1666 devoured 13,200 houses. In the aftermath of this disaster Nicholas Barbon opened an office to insure buildings. In 1680 he established England's first fire insurance company, ""The Fire Office"", to insure brick and frame homes.\\n\\nThe first insurance company in the United States provided fire insurance and was formed in Charles Town (modern-day Charleston), South Carolina, in 1732.\\n\\nBenjamin Franklin helped to popularize and make standard the practice of insurance, particularly against fire in the form of perpetual insurance. In 1752, he founded the Philadelphia Contributionship for the Insurance of Houses from Loss by Fire. Franklin's company was the first to make contributions toward fire prevention. Not only did his company warn against certain fire hazards, it refused to insure certain buildings where the risk of fire was too great, such as all wooden houses.\\n\\nIn the United States, regulation of the insurance industry is highly Balkanized, with primary responsibility assumed by individual State insurance departments. Whereas insurance markets have become centralized nationally and internationally, State insurance commissioners operate individually, though at times in concert through a national insurance commissioner's organization. In recent years, some have called for a federal regulatory system for insurance similar to that of the banking industry.\\n\\nIn the State of New York, which has unique laws in keeping with its stature as a global business center, attorney general Eliot Spitzer has been in a unique position to grapple with major national insurance brokerages. Spitzer alleged that Marsh & McLennan steered business to insurance carriers based on the amount of contingent commissions that could be extracted from carriers, rather than basing decisions on whether carriers had the best deals for clients. Several of the largest commercial insurance brokerages have since stopped accepting contingent commissions and have adopted new business models."
4,What are u doing on the last day of school cause mine is and was boring?,I had to do work on the last day of school tell me what u would do about that?,"Finals, wishing school is over, hoping that the bell will ring soon, etc.\\n\\nI had to work on the last day too! One of my teachers just had to make the final difficult. Really, I'm just glad that it is over."
2,calculus problem using second derivative?,"If x^2 - 2y^2 = 2, then (d^2 y)/(d x^2) can be expressed in the form a y^b, where a and b are rational numbers in simplest form.\\n\\nfind a and b.",We start by using implicit differentiation:\\n\\nx² - 2y² = 2\\n2x - 4y dy/dx = 0\\ndy/dx = x/(2y)\\n\\nDifferentiating a second time:\\n\\nd²y/dx² = (2y - 2 dy/dx x)/(4y²)\\n\\nSubstituting the value we already have for dy/dx:\\n\\nd²y/dx² = (2y - 2 x/(2y) x)/(4y²)\\nd²y/dx² = (2y - x²/y)/(4y²)\\n\\nSolving the original equation for x²:\\n\\nx² - 2y² = 2\\nx²=2+2y²\\n\\nAnd substituting:\\n\\nd²y/dx² = (2y - (2+2y²)/y)/(4y²)\\nd²y/dx² = (2y - 2/y - 2y)/(4y²)\\nd²y/dx² =  (-2/y)/(4y²)\\nd²y/dx² =  -1/(2y³)\\n\\nd²y/dx² = -1/2 * y^(-3)\\n\\nso a=-1/2 and b=-3
9,how do you know your in love?lol?,i think im in love but i want advice to make sure before i make a mistake,If you have to ask that question then it is not love...... yet.  Don't worry you will know.
2,Mass percent using two algebraic equations?,"A sample of a mixture containing only sodium chloride and potassium chloride has a mass of 6.4100g. When this sample is dissolved in water and excess silver nitrate is added, a white precipitate (silver chloride) forms. After filtration and drying, this precipitate has the mass 12.7559g.\\nWhat is the mass percentage of sodium chloride in the mixture?",Your two basic algebraic equations are:\\nmoles Na + moles K = moles Cl \\n(g Na+) + (g K+) + (g Cl-) = 6.4100 g\\n\\nThe mass of the final precipitate means that there are 7.50921 x 10-2 mol of chloride ions present in the initial mixture.\\nSee:\\nmol Cl = mol AgCl = g AgCl/MW AgCl = 12.7559/169.87 = 7.50921 x 10 -2 mol\\n\\nThe mass of the chloride component of the starting materials is then determined by:\\n\\ng Cl = MW Cl x mol Cl = (7.50921 x 10-2 mol) x (35.45 g/mol) = 2.662 g\\n\\nPlug that back into the second eqn and you get:\\n\\n(g Na+) + (g K+) + (2.662 g) = 6.4100 g\\nor\\n(g Na+) + (g K+) = 3.748 g\\n\\nConvert back to moles and plug that into the first equation and you get:\\n\\nmoles Na + moles K = 7.50921 x 10 -2 mol\\nor\\nmoles Na + ((g K+) / (39.1 g/mol)) = 7.50921 x 10 -2 mol\\nor\\n((g Na+) / (22.99 g/mol)) + ((3.748 - g Na+) / (39.1 g/mol)) = 7.50921 x 10 -2 mol\\n\\nAnd now solve for g Na + \\n\\nDivide that by 3.748 g and you're there!
6,How many points did kobe score tonight?,,52 through the 1st 3 quarters. He played a few mins in the 4th but didn't score.
7,Can any business legally change the price of its offering based on the demand (like Airline companies) ?,,"Generally, yes.  There are exceptions though.\\n\\nOne of the principles behind capitalism is that buyers and sellers are able to freely make decisions about whether to buy or sell, and at what price.  If a seller raises his price, buyers should be able to buy less, or buy from someone else.\\n\\nIf a company has a monopoly, then the buyers have no choice about where to buy.  So there are laws and regulations about how monopolies can behave.  Examples of monopolies include power companies, and cable companies.\\n\\nSometimes in natural disasters, some sellers take advantage of the situation to raise prices of things like gas or water by huge amounts.  While some may argue that this is the principle of free markets, others feel that this is unfair to disaster victims who have no other options.  So there are ""price gouging"" laws in some places that forbid this kind of thing.\\n\\nAnd then there's price fixing, which means communicating with your competitors and raising prices together.  Again, this is seen as unfair, and so is illegal.  Some of the airlines were guilty of this a long time ago.\\n\\nThere are some other minor restrictions on pricing, but for the most part, aside from doing these things that are considered grossly unfair, businesses are generally free to price however they want."
3,Has anyone had a a difficult time with their belly button ring healing?,"I got my belly button ring pierced in January and it STILL hurts! I put peroxide and neosporin on it. I know it's infected but I'm afraid to take it out, cause I read it can trap the infection in the hole. HELP!!","You can go back to the business that did the piercing and ask their advice.  Most reputable places are open to questions/concerns after a piercing or tattoo.  My belly piercing took a long time to heal, but it was never infected.\\nThis is from a site:\\n""During the entire healing period, the jewelry should remain in place to act as a drain. If the jewelry is too large to allow adequate drainage, it could be replaced with a smaller size by a piercing professional. Removing your jewelry prematurely can cause an infected hole to close up, trapping an infection and leading to complications requiring a medical professional. If you feel that the normal secretion is turning into a thicker and darker discharge, please do not hesitate to contact your physician for more advanced treatment (e.g., antibiotics).""  http://www.tribalectic.com/NavelJewelryAftercare.asp\\n\\nSounds like you need to have a doctor look at it."
2,Suppose that black hole is what forms a star?Then black hole wouldnt come from stars?How do we know?,,"But this is not true, so supposing that it is true is a waste of time.\\n\\n\\nStars are formed from the collapse of giant bodies of gas (mostly hydrogen) floating around. These are also called nebulas."
6,Is there any professional hockey in Orlando or nearby area?  excluding Tampa & Sunrise.?,,"The Florida Seals are a minor-league ice hockey team, currently a member of the Southern Professional Hockey League (SPHL). Originally based in Orlando, Florida, they are now based in Kissimmee, Florida, a suburb south of Orlando in Osceola County. The ownership group of the Seals is led by David Waronker.\\n\\nThe team was formed as the Orlando Seals, and played its first season beginning in October 2002 with the Atlantic Coast Hockey League (ACHL). It was the winner of that league's first and only President's Cup in 2003. When the ACHL folded, they and two other teams, the Jacksonville Barracudas and the Macon Trax, merged into the new World Hockey Association 2 (WHA2), founded by Waronker himself. After the 2003-2004 season, the World Hockey Association served a cease-and-desist order on the WHA2 and it merged with the South East Hockey League (SEHL) to form the Southern Professional Hockey League (SPHL).\\n\\nThe Orlando Seals were scheduled to play in the 2004-2005 SPHL season, but on August 22, 2004, the City of Orlando revoked its lease at the TD Waterhouse Centre, causing them to miss the season. On October 19, 2004, the ownership group announced a new three-year lease with the Silver Spurs Arena in Kissimmee. The team resumed play in the 2005-2006 season, hosting their first home game against the Jacksonville Barracudas on October 29, 2005.\\n\\nThe mascot of the Florida Seals is Sealvester. He wears a jersey emblazoned with the number ""02""."
8,"what does abraham lincoln and a toy maker have in common?? a clue is ""disney""?","disney is a clue  to the question . It may be a certain toy maker or a toy It is not ""lincoln logs""",the hat
8,Are reality television shows rigged?,,"Well, they are certainly edited to show people in particular lights, don't you think?"
7,what are the settings  for a wards signature sewing machine?,"no,265C","I found a bunch of manuals...some you can download, some you have to order hard copies.  I didn't see that exact model but you may find some of the others helpful.\\n\\nClick link below to see what I found:"
2,Why are people so susceptible to concepts like religion?,Humans worship their fathers' fathers' fathers' Gods. Why does no one attempt to question the origin of their faith?,"People are susceptible because people are afraid. Just like everything else in life, they are afraid of their bodies, their minds, their thoughts. When we grow up and realize that we don't have an infinite amount of time of this planet, people turn to what they have been taught. That there is a better life after death but you have to follow a path to get there. Therefore religion steps in and tries to turn your fear of death to faith instead giving hope. However, no one really knows what happens after we die so its a crap shoot."
7,How can I get a medical doctor job In UAE?,I am a medical graduate from Kyrghyz state medical academy in the year 2005.I am now working as an intern doctor in national academy of medical sciences since aug 2005.I had worked as a doctor's assistant in Central hospital on Nepal for about 3 years .,"i just want points, i don't really know anything."
1,What is Chuckie Cheese? A Rat or a Mouse?,My friend and I have been having this argument for about a week. Please help!,Chuck E. Cheese was orginally a rat but was later changed to a mouse. So technically you both were correct.
8,B/W Horror Flick-Girl at inn-finds trapdoor under rug whr coven is-raven at the window?,"The young people are invest. witches. In the begng, she picks up a hitchhiker in the rain. When she goes to drop him off, he's not in the car. She stops stays at an inn. The old lady there is strange. She calls her b/f, tell him about the hitchhkr had called him and he made light of it, saying, ""Burn witch Burn"".goes to hr room and trips ona small pc of rug. thrs a raven at th window.When she pulls away the rug, there's a trapdoor leading to the cellar.  There's a large table presumably for the coven. In her sleep, she hears chanting.  Please, you guys are my last hope!  I have been thinking of this off & on, how dumb, huh? But it's driving us nuts!  Thank you thank you!",It sounds like a redo of about 8 different movies and the same number of urban legends. Come up with something original and I think you'll have better luck.
1,Do Christians think we should all become mindless Jesus worshipping drones?,,"First of all Christians aren't mindless. God doesn't want us to be mindless nor does he want us to have blind faith. He wants us to use our brain and think and question things and make decisions for ourselves. That is why he gave us brains and free will. God wants us to know what we believe and why and as such we must have our eyes wide open in our faith in Him. I have never forced my beliefs on anyone. Jesus has never done that either. He would give His opinion and have His say. Anyone forcing their religion or beliefs on someone is in the wrong. Even a Christian who tries to force their opinion on someone is sinning and needs to stop. Yes I will give my opinion on lots of things, especially when I see someone such as you making the comments or posing a question such as you have, but you are free to believe and think what you want. Yet it seems that most of those who are Anti-Christ and Anti-God want to have their say or make rude comments, but not let the Christians have their say. So now you had your say and I had mine and you can take it or leave it. The choice is now yours. John 3:3-6 and Ephesians 2:8-9"
10,is it illegal in boston to put quarters in someone else's parking meter?,,"I don't know about Boston but believe it or not, in many jurisdictions it is illegal to put money in strangers parking meters."
6,how to tie ninja pants?,,on the sides you tie the gee do it anyyway you want your belt should over lap it
10,who is the president of the united states?,,who cares
7,"As a resident of New York, how much would I have to pay in taxes (federal & state) on $40,000?",,"Purchase a copy of TurboTax for 40 bucks, fill out the basic information - estimate if necessary - and it will tell you the amount of state and federal tax.\\n\\nYou can find Turbo Tax online or at an office supplies or software store."
7,Had posting deleted by Customer Care! Why?,"I named three singers, followed with a question mark.\\nObviously, I wanted people's thoughts on the best. The replys were coming in but after about ten-minutes, I received an e-mail from Customer Care stating ""Violation: Not a Question or Answer."" What's up with this? Anyone else had things rejected for no good reason? This was the third such rejection in two days!\\nAny ideas? Thanks much.","I think it may have been a valid reason to the person that complained and Customer Care, if not to you. The reason why is no one else had the background info that you did in your mind; you knew they where all singers and that by listing 3 similar people you where attempting to indicate a comparison, but this is VERY vague to someone who doesnt know what you where thinking when you wrote it. Three names; who the heck are these people? Question mark; what does he want to know??? \\n\\nNo offence, but I am sure I would have reported it as not a question or at least posted a response asking you to elaborate as well. The way to avoid this type of response from others it to take the time to ask a full question with detail...think of a quiz for school where they simply list three  names of historic figures followed by a question mark...would you know that your teacher wanted you to compare their effect on the civilized world as it is today, with no other information, or would you fail miserably? My point is, do as you did with this question; fill the reader in on all the important parts they need to come up with a good answer for you. Read it again before you post it to see if it will make sense to others.\\n\\nHope this helps to clarify the situation. Good luck with all your future questions!"
1,Lewis Carrol's JabberWocky?,we have to prepare and present an oral reading of this poem (JabberWocky) any ideas on how to present the poem like prop wise or just nething?,"It's the perfect poem to present as a short play, you've got a monster, a hero with a sword, and a fight to the death.  Create a short play around the duel to the death. \\n\\n""Beware the Jabberwock, my son!\\n  The jaws that bite, the claws that catch!\\nBeware the Jubjub bird, and shun\\n  The frumious Bandersnatch!""\\n\\nHe took his vorpal sword in hand:\\n  Long time the manxome foe he sought --\\nSo rested he by the Tumtum tree,\\n  And stood awhile in thought.\\n\\nAnd, as in uffish thought he stood,\\n  The Jabberwock, with eyes of flame,\\nCame whiffling through the tulgey wood,\\n  And burbled as it came!\\n\\nOne, two! One, two! And through and through\\n  The vorpal blade went snicker-snack!\\nHe left it dead, and with its head\\n  He went galumphing back.\\n\\n""And, has thou slain the Jabberwock?\\n  Come to my arms, my beamish boy!\\nO frabjous day! Callooh! Callay!'\\n  He chortled in his joy.\\n\\n`Twas brillig, and the slithy toves\\n  Did gyre and gimble in the wabe;\\nAll mimsy were the borogoves,\\n  And the mome raths outgrabe."
