source,text
llm,We all gonna live in ower dreams when we leave this world.
yahoo,"you can go to your ""sent"" file, or you usually it will say your message has been sent when you send the message."
llm,"you can go to your ""sent"" file, or you usually it will say your message has been sent when you send the message."
yahoo,"if you already know, why are you asking?\\\\n\\\\n\\\\nwell, since no one else has figured out that this is a riddle, here is the answer:\\\\n\\\\n\\\\nDraw a 5 pointed star. Plant one tree at each point and one tree where the sides intersect."
llm,"if you already know, why are you asking?\\\\n\\\\n\\\\nwell, since no one else has figured out that this is a riddle, here is the answer:\\\\n\\\\n\\\\nDraw a 5 pointed star. Plant one tree at each point and one tree where the sides intersect."
yahoo,1. Don't steal.\\\\n2. Count the money.\\\\n3. Write everything down in a big book.
llm,1. Don't steal.\\\\n2. Count the money.\\\\n3. Write everything down in a big book.
yahoo,"Yep, you need to fill out a payment form and send it in with your taxes, I don't know the form number but you can always call 1800 irs 1040, that is the general info number, or go to irs.gov for forms."
llm,"Yep, you need to fill out a payment form and send it in with your taxes, I don't know the form number but you can always call 1800 irs 1040, that is the general info number, or go to irs.gov for forms."
yahoo,thats a 2 part question for you.\\\\n\\\\n1.  ???????? \\\\n\\\\n2.  nope\\\\n\\\\n.
llm,thats a 2 part question for you.\\\\n\\\\n1.  ???????? \\\\n\\\\n2.  nope\\\\n\\\\n.
yahoo,UCD Class of '89   Go Ags!
llm,UCD Class of '89   Go Ags!
yahoo,"If we break both words down we get..........\\\\n\\\\noc·u·lo·cu·ta·ne·ous \\\\nOf or relating to the eyes and skin.\\\\n\\\\ntelangiectasis\\\\n(medicine) Localized dilation of capillaries forming dark-red, wartlike elevations varying in size from about 1 to 7 millimeters\\\\n\\\\n\\\\nSo it sounds like it is a symptom of the eyes or skin depending on where the dilation of the capillaries are.\\\\n\\\\nNow as for the next part.........\\\\n\\\\nxer·o·der·ma \\\\nExcessive or abnormal dryness of the skin, as in ichthyosis.\\\\n\\\\nThis would lead me to think you are talking more about the skin than the eyes.  Pigmentosa would refer to the colouring I would imagine of the dark red elevations???  Taking a guess here."
llm,"If we break both words down we get..........\\\\n\\\\noc·u·lo·cu·ta·ne·ous \\\\nOf or relating to the eyes and skin.\\\\n\\\\ntelangiectasis\\\\n(medicine) Localized dilation of capillaries forming dark-red, wartlike elevations varying in size from about 1 to 7 millimeters\\\\n\\\\n\\\\nSo it sounds like it is a symptom of the eyes or skin depending on where the dilation of the capillaries are.\\\\n\\\\nNow as for the next part.........\\\\n\\\\nxer·o·der·ma \\\\nExcessive or abnormal dryness of the skin, as in ichthyosis.\\\\n\\\\nThis would lead me to think you are talking more about the skin than the eyes.  Pigmentosa would refer to the colouring I would imagine of the dark red elevations???  Taking a guess here."
yahoo,"Since you know the name and base, you can send a letter to him.\\\\nAddress and seal the letter with his name and leave a space and put the base down at the bottom.\\\\nPut it in an envelope and on this one address it to:\\\\n\\\\nOffice of the Post Locator\\\\nQuantico, VA 22134\\\\n\\\\nThe post locator will fill in the info and deliver the letter.\\\\n\\\\nYou can call at (703)784-3006\\\\n\\\\nYou may also contact the post directly via their web site\\\\n\\\\nwww.quantico.usmc-mcss.org"
llm,"Since you know the name and base, you can send a letter to him.\\\\nAddress and seal the letter with his name and leave a space and put the base down at the bottom.\\\\nPut it in an envelope and on this one address it to:\\\\n\\\\nOffice of the Post Locator\\\\nQuantico, VA 22134\\\\n\\\\nThe post locator will fill in the info and deliver the letter.\\\\n\\\\nYou can call at (703)784-3006\\\\n\\\\nYou may also contact the post directly via their web site\\\\n\\\\nwww.quantico.usmc-mcss.org"
yahoo,"We do because we use their services and labor. It helps to keep many of our offices clean, fruits and vegetable affordable, lawns mowed, new houses built, Mexican food cheap at the drive-thru after closing hours at the bars, hotel rooms clean, dishes cleared after a nice meal at the fine restaurant, dry our cars after the car wash and many more.\\\\n\\\\nIf these jobs were paying more, Americans would work those jobs. Except that if Americans worked those jobs, our laws would cost more to mow, our office rent would increase, hotel rates would increase, washing your car would be $30, our strawberries would be $8 instead of $4.\\\\n\\\\nThey are helping to keep things affordable."
llm,"We do because we use their services and labor. It helps to keep many of our offices clean, fruits and vegetable affordable, lawns mowed, new houses built, Mexican food cheap at the drive-thru after closing hours at the bars, hotel rooms clean, dishes cleared after a nice meal at the fine restaurant, dry our cars after the car wash and many more.\\\\n\\\\nIf these jobs were paying more, Americans would work those jobs. Except that if Americans worked those jobs, our laws would cost more to mow, our office rent would increase, hotel rates would increase, washing your car would be $30, our strawberries would be $8 instead of $4.\\\\n\\\\nThey are helping to keep things affordable."
yahoo,60
llm,60
yahoo,"In general, if you don't really need a wireless router, then don't get one.   The old fashioned wire is more reliable, less costly to buy, less costly to maintain and more secure from intrusion. You grow fond of the wires that run all over your house. If you do use a wireless router, Use the Security Features, and Write Down the Passwords.\\\\n\\\\nOpen the Command Prompt from the Accessories folder, found in the Programs section of your Start Menu \\\\nType this IPCONFIG command, followed by the ENTER key to display your computer's IP configuration.\\\\n\\\\nC:&#92;>ipconfig\\\\n\\\\nUse the PING commend to PING the gateway address 1,000 times, using the following command:\\\\n\\\\nC:&#92;>ping 192.168.0.1 /n 1000\\\\n\\\\nThis simple test will tell you how many times your router did not answer.  This 15 minute test will give you a good handle on if your router is reliable.  (other than simply signal strength)."
llm,"In general, if you don't really need a wireless router, then don't get one.   The old fashioned wire is more reliable, less costly to buy, less costly to maintain and more secure from intrusion. You grow fond of the wires that run all over your house. If you do use a wireless router, Use the Security Features, and Write Down the Passwords.\\\\n\\\\nOpen the Command Prompt from the Accessories folder, found in the Programs section of your Start Menu \\\\nType this IPCONFIG command, followed by the ENTER key to display your computer's IP configuration.\\\\n\\\\nC:&#92;>ipconfig\\\\n\\\\nUse the PING commend to PING the gateway address 1,000 times, using the following command:\\\\n\\\\nC:&#92;>ping 192.168.0.1 /n 1000\\\\n\\\\nThis simple test will tell you how many times your router did not answer.  This 15 minute test will give you a good handle on if your router is reliable.  (other than simply signal strength)."
yahoo,"Stay away from this company. You may want to read RipOffReport where someone said that she was scammed by this company when they promised to give her $6000 grant\\\\n\\\\nhttp://www.ripoffreport.com/reports/ripoff185562.htm\\\\n\\\\nYou don't need a third party agency to help you with grants -- and don't ever believe that there are all kinds of grants available for any kinds of purposes. They're not true.\\\\n\\\\nThe government is NOT in the business of giving away free money for the sake of giving away money. Grants are free, but it means OBLIGATION. You will be obligated to do as the grant sets out to do. Grants have objectives, and your purpose must fit the objective of the grant.\\\\n\\\\nFor one, you have to write the grant application and the grant application is not a simple document - you have to explain how your purpose for applying for the grant fits well with the objectives set out by the grant. Grants have objectives, and the grant applications that best captures the grant's objectives are approved.\\\\n\\\\nThere is a stringent review process through a committee composed of federal employees and selected experts in the field. You will compete with other applicants for the grant money, and this grant review committee will evaluate the merits of each proposal. Only those that they feel exemplifies the objective of the grant will be approved.\\\\n\\\\nYou can go to the Catalog of Federal Domestic Assistance (CFDA) http://www.cfda.gov and Grants.gov http://www.grants.gov - these are two FREE sites created by the federal government to provide transparency and information on grants. Browse through the listings and see if you can find any grant that would support your purposes.\\\\n\\\\nEven if you buy books on ""how to get grants"" or list that supposedly has information on grants -- all of them are mere rehash of what CFDA has, albeit packaged differently.\\\\n\\\\nNote though that these grants generally support non-profit organizations, intermediary lending institutions, and state and local governments. Most of the federal grants are given to specific target groups with specific requirements (e.g. minority business owners involved in transportation related contracts emanating from DOT - Grant#20.905 Disadvantaged Business Enterprises Short Term Lending Program. Individuals especially for personal purposes are not eligible for federal grants. \\\\n\\\\nGrants are also often given to non profit groups or organizations involved in training or other similar activities (grant 59.043 Women's Business Ownership Assistance that are given to those who will create women's business center that will train women entrepreneurs"
llm,"Stay away from this company. You may want to read RipOffReport where someone said that she was scammed by this company when they promised to give her $6000 grant\\\\n\\\\nhttp://www.ripoffreport.com/reports/ripoff185562.htm\\\\n\\\\nYou don't need a third party agency to help you with grants -- and don't ever believe that there are all kinds of grants available for any kinds of purposes. They're not true.\\\\n\\\\nThe government is NOT in the business of giving away free money for the sake of giving away money. Grants are free, but it means OBLIGATION. You will be obligated to do as the grant sets out to do. Grants have objectives, and your purpose must fit the objective of the grant.\\\\n\\\\nFor one, you have to write the grant application and the grant application is not a simple document - you have to explain how your purpose for applying for the grant fits well with the objectives set out by the grant. Grants have objectives, and the grant applications that best captures the grant's objectives are approved.\\\\n\\\\nThere is a stringent review process through a committee composed of federal employees and selected experts in the field. You will compete with other applicants for the grant money, and this grant review committee will evaluate the merits of each proposal. Only those that they feel exemplifies the objective of the grant will be approved.\\\\n\\\\nYou can go to the Catalog of Federal Domestic Assistance (CFDA) http://www.cfda.gov and Grants.gov http://www.grants.gov - these are two FREE sites created by the federal government to provide transparency and information on grants. Browse through the listings and see if you can find any grant that would support your purposes.\\\\n\\\\nEven if you buy books on ""how to get grants"" or list that supposedly has information on grants -- all of them are mere rehash of what CFDA has, albeit packaged differently.\\\\n\\\\nNote though that these grants generally support non-profit organizations, intermediary lending institutions, and state and local governments. Most of the federal grants are given to specific target groups with specific requirements (e.g. minority business owners involved in transportation related contracts emanating from DOT - Grant#20.905 Disadvantaged Business Enterprises Short Term Lending Program. Individuals especially for personal purposes are not eligible for federal grants. \\\\n\\\\nGrants are also often given to non profit groups or organizations involved in training or other similar activities (grant 59.043 Women's Business Ownership Assistance that are given to those who will create women's business center that will train women entrepreneurs"
yahoo,Yesterday.
llm,Yesterday.
yahoo,It's about eating sushi
llm,It's about eating sushi
yahoo,"Yes, definately namby pamby hahahaha boston legal hits the nail on the head again. I usually call them liberals or wets, all talk about peace and no action in real life and reality, and on the whole they are the most aggressive people to deal with in day to day life. Underneath they're liberalism they are more intolerant than those they accuse."
llm,"Yes, definately namby pamby hahahaha boston legal hits the nail on the head again. I usually call them liberals or wets, all talk about peace and no action in real life and reality, and on the whole they are the most aggressive people to deal with in day to day life. Underneath they're liberalism they are more intolerant than those they accuse."
yahoo,"I'm the retired King of Canada.  Contact me, I've got a job for you."
llm,"I'm the retired King of Canada.  Contact me, I've got a job for you."
yahoo,"The act makes it unlawful to discriminate against people with diabilities, this used to include all those who could not carry out one or several specified everyday functions but the act was updated this year to include those who have terminal diseases which do not as yet have symptoms, eg those with cancer and HIV but show no symptoms. The act imposes a duty to make reasonable adjustments so you must ensure that your premises are accessible and that if you can modify working practices to allow a disabled person to do the job you make the modification. \\\\n\\\\nhope this helps"
llm,"The act makes it unlawful to discriminate against people with diabilities, this used to include all those who could not carry out one or several specified everyday functions but the act was updated this year to include those who have terminal diseases which do not as yet have symptoms, eg those with cancer and HIV but show no symptoms. The act imposes a duty to make reasonable adjustments so you must ensure that your premises are accessible and that if you can modify working practices to allow a disabled person to do the job you make the modification. \\\\n\\\\nhope this helps"
yahoo,"rape bcuz a ur alive while ur raped,\\\\nmurder is uhm ur just dead n dont feel anything\\\\nso i say rape"
llm,"rape bcuz a ur alive while ur raped,\\\\nmurder is uhm ur just dead n dont feel anything\\\\nso i say rape"
yahoo,"well i always use limewire or kazaa,  more limewire though it has worked really well for me, i can find just about anything im looking for"
llm,"well i always use limewire or kazaa,  more limewire though it has worked really well for me, i can find just about anything im looking for"
yahoo,http://newport-news.com/
llm,http://newport-news.com/
yahoo,"Aol's instant messenger is free, and will be for a while I'm sure.  Just got to www.aim.com and download it.  The only hard part is trying to come up with a name that isn't taken."
llm,"Aol's instant messenger is free, and will be for a while I'm sure.  Just got to www.aim.com and download it.  The only hard part is trying to come up with a name that isn't taken."
yahoo,2 but not always
llm,2 but not always
yahoo,Here are some opinions on Sharper Image.\\\\nhttp://www.epinions.com/Ionic_Breeze_Quadra_Silent_Air_Purifier_Air_Filters/display_~reviews\\\\nhttp://www.engadget.com/2005/04/13/report-sharper-image-purifiers-actually-make-air-worse/\\\\nhttp://www.digg.com/technology/Proof_that_the_Ionic_Breeze_Air_Purifier_is_Junk\\\\n\\\\nHere are some opinions on Oreck.\\\\nhttp://www.epinions.com/Oreck_Oreck_Professional_Air_Purifier_Air_Purifier_269270C98C51/display_~reviews\\\\nhttp://www99.shopping.com/xPR-Oreck_Super_Air_8\\\\n\\\\n\\\\nPlease remember that these are general opinions. Both companies make a wide variety of models. Hopefully I have provided you with enough information to further your research.\\\\n\\\\nGood luck!
llm,Here are some opinions on Sharper Image.\\\\nhttp://www.epinions.com/Ionic_Breeze_Quadra_Silent_Air_Purifier_Air_Filters/display_~reviews\\\\nhttp://www.engadget.com/2005/04/13/report-sharper-image-purifiers-actually-make-air-worse/\\\\nhttp://www.digg.com/technology/Proof_that_the_Ionic_Breeze_Air_Purifier_is_Junk\\\\n\\\\nHere are some opinions on Oreck.\\\\nhttp://www.epinions.com/Oreck_Oreck_Professional_Air_Purifier_Air_Purifier_269270C98C51/display_~reviews\\\\nhttp://www99.shopping.com/xPR-Oreck_Super_Air_8\\\\n\\\\n\\\\nPlease remember that these are general opinions. Both companies make a wide variety of models. Hopefully I have provided you with enough information to further your research.\\\\n\\\\nGood luck!
yahoo,well if you have a turkey and I have a turkey the score is gobble-up
llm,well if you have a turkey and I have a turkey the score is gobble-up
yahoo,"The state of California is divided into 53 congressional districts, meaning this state elects 53 of the 435 members of Congress.\\\\n\\\\nYou will find a list of the districts at this site. Just click on the number of the district you live in to get more information about that district.\\\\nhttp://en.wikipedia.org/wiki/California_Congressional_District\\\\n\\\\ns"
llm,"The state of California is divided into 53 congressional districts, meaning this state elects 53 of the 435 members of Congress.\\\\n\\\\nYou will find a list of the districts at this site. Just click on the number of the district you live in to get more information about that district.\\\\nhttp://en.wikipedia.org/wiki/California_Congressional_District\\\\n\\\\ns"
yahoo,People smacking on their gum or chewing with loud noises... ew!
llm,People smacking on their gum or chewing with loud noises... ew!
yahoo,"I don't use WMP for this kind of thing, but if you look for Blaze Audio Prob (BAP) on google, you can download a free 25 day trial, where you just select .wav files, and click to MP3, and it does the job"
llm,"I don't use WMP for this kind of thing, but if you look for Blaze Audio Prob (BAP) on google, you can download a free 25 day trial, where you just select .wav files, and click to MP3, and it does the job"
yahoo,"At first,u should have had the capabilities of managing a job to apply for and accept it. \\\\nFactors such as self confidence, reverence ,volunteer and so on can help u manage the best."
llm,"At first,u should have had the capabilities of managing a job to apply for and accept it. \\\\nFactors such as self confidence, reverence ,volunteer and so on can help u manage the best."
yahoo,"mean means average\\\\n\\\\nand if you multiply the number of numbers (5) by the avg (27), you get the sum\\\\n\\\\nthen you take the sum (135) and subract the other 4\\\\nto get the final one!\\\\n\\\\n(to check, add them all up, and they should eqaul 135, and the avg shoiuld be 27)"
llm,"mean means average\\\\n\\\\nand if you multiply the number of numbers (5) by the avg (27), you get the sum\\\\n\\\\nthen you take the sum (135) and subract the other 4\\\\nto get the final one!\\\\n\\\\n(to check, add them all up, and they should eqaul 135, and the avg shoiuld be 27)"
yahoo,"Start with a book on electricity and magnetism.  Yes, that is the most common way of generating electromagnetic waves.  It is practical from microwave frequencies nearly all the way down to zero in frequency."
llm,"Start with a book on electricity and magnetism.  Yes, that is the most common way of generating electromagnetic waves.  It is practical from microwave frequencies nearly all the way down to zero in frequency."
yahoo,"i sometimes feel like that its like a feeling like no one cares about you right? well i really think its horemones or emotion sickness.Dont feel alone you just need help.o and that thing that no one likes you, its just you you think no one likes you but they really do.They just dont know the real you,they are scared of you. try to open up to them or something like that"
llm,"i sometimes feel like that its like a feeling like no one cares about you right? well i really think its horemones or emotion sickness.Dont feel alone you just need help.o and that thing that no one likes you, its just you you think no one likes you but they really do.They just dont know the real you,they are scared of you. try to open up to them or something like that"
yahoo,"When you are in the VBA Editor (Press ALT-F11), you need to select Tools>VBA Project Properties.\\\\n\\\\nSelect the Protection Tab\\\\n\\\\nHere you can add a password just for viewing the code.\\\\n\\\\nThis method is more powerful than simply password protecting the sheet."
llm,"When you are in the VBA Editor (Press ALT-F11), you need to select Tools>VBA Project Properties.\\\\n\\\\nSelect the Protection Tab\\\\n\\\\nHere you can add a password just for viewing the code.\\\\n\\\\nThis method is more powerful than simply password protecting the sheet."
yahoo,"You can count me in, Good bye Mr. Bush. I hope you have a good retirement and move to the safe state of Iraq to live out your days."
llm,"You can count me in, Good bye Mr. Bush. I hope you have a good retirement and move to the safe state of Iraq to live out your days."
yahoo,"If you are still working there, it's best to say that you are looking for a more challenging / fullfilling position.  That would be true...right?\\\\n\\\\nIf you've already left, some version of the truth works best.  It's good to say that ""my skills and the needs of the company were not a good match"".  Be prepared to give a few examples.\\\\n\\\\nIf you were fired for some serious performance issue, you should at least try to negotiate a ""neutral"" reference from your prior employer (name, dates of employment and rate of pay).  \\\\n\\\\nMost previous employers don't want the potential hassle of giving a bad reference that may backfire on them.  If you want to find out what they're saying, try having someone you know and trust who owns a business call and ask for a reference on you. \\\\n\\\\nYou may be surprised by what you hear."
llm,"If you are still working there, it's best to say that you are looking for a more challenging / fullfilling position.  That would be true...right?\\\\n\\\\nIf you've already left, some version of the truth works best.  It's good to say that ""my skills and the needs of the company were not a good match"".  Be prepared to give a few examples.\\\\n\\\\nIf you were fired for some serious performance issue, you should at least try to negotiate a ""neutral"" reference from your prior employer (name, dates of employment and rate of pay).  \\\\n\\\\nMost previous employers don't want the potential hassle of giving a bad reference that may backfire on them.  If you want to find out what they're saying, try having someone you know and trust who owns a business call and ask for a reference on you. \\\\n\\\\nYou may be surprised by what you hear."
yahoo,"Check out these two sites ,  www.merchant-navy.net    ,  . . .  or . . .  www.allatsea.cx   .   These are both excellent sites for seafaring types and very helpull in finding info on anything nautical and could probably tell you who invented the oar . . . Good Luck ."
llm,"Check out these two sites ,  www.merchant-navy.net    ,  . . .  or . . .  www.allatsea.cx   .   These are both excellent sites for seafaring types and very helpull in finding info on anything nautical and could probably tell you who invented the oar . . . Good Luck ."
yahoo,"It was supposed to say Donna, but it was a picture of Woodstock"
llm,"It was supposed to say Donna, but it was a picture of Woodstock"
yahoo,"Sadly, despite what the publishers of tons of different products claim, it's hard to have a huge impact on your GMAT scores quickly, so don't go that route.  Assuming you have some time, the best way to increase your scores is to increase your vocabulary.  Read as much professional literature as you can get your hands on.  Remember, a little stress will help you, but a lot of stress will kill your scores.  Get up early the day of the exam and eat a good breakfast, wake up that brain, then as best as you can, 'relax'.  I've known lots of people who've tried a lot of different methods, but the key is to FEEL confident, FEEL relaxed and be CONFIDENT.  Your scores will improve."
llm,"Sadly, despite what the publishers of tons of different products claim, it's hard to have a huge impact on your GMAT scores quickly, so don't go that route.  Assuming you have some time, the best way to increase your scores is to increase your vocabulary.  Read as much professional literature as you can get your hands on.  Remember, a little stress will help you, but a lot of stress will kill your scores.  Get up early the day of the exam and eat a good breakfast, wake up that brain, then as best as you can, 'relax'.  I've known lots of people who've tried a lot of different methods, but the key is to FEEL confident, FEEL relaxed and be CONFIDENT.  Your scores will improve."
yahoo,"Rattlesnakes do not view humas as prey and will not bite unless threatened.  A rattlesnake bite seldom delivers enough venom to kill a human, though painful swelling and discoloration may occur."
llm,"Rattlesnakes do not view humas as prey and will not bite unless threatened.  A rattlesnake bite seldom delivers enough venom to kill a human, though painful swelling and discoloration may occur."
yahoo,"This sounds cool! I am in fact making My own RC lawnmower! I have the frame made it is a all electric (blade too!) here is my website for it: http://www.geocities.com/o7buster/rclawnmower.html I was going to do my wheels with out a speed controller, but after doing the math I figured out that it would go 10 MPH way to fast for mowing lawn(IF YOU WANT IT TO LOOK NICE!)that is why my wiring diagramn dosnt have a speed controller in it. What you need to do is connect the electronic speed controller to the battery and then to the throttle channel on the radio (if it is not electronic and it is manuel throttel type like from a scooter, just connect it with a servo to spin the throttle) from the controller you would split off to two center-off momentary switches controlled by servos (take a reversable cordlles screwdriver apart to see how to wire) you shouldnt have a problem with the conttroller wearing out from the starting current because if your conttroller is 50 amps your motors should only pull 2 to 5 amps and probably no more than 15 amps when starting. from the switches it would go to the motors. now with the conttroller you should have what is called a trim pot or trim nob it should say what channel each pot controlles, moving this should allow for the controller to stop in the middle position. EXPERIMENT with it! as for the controller ""BEC"" 3 v battery eliminator circuit, I think this may be a switch to turn the controller on and off, thats what mine do. Please tell me if this is helpfull!"
llm,"This sounds cool! I am in fact making My own RC lawnmower! I have the frame made it is a all electric (blade too!) here is my website for it: http://www.geocities.com/o7buster/rclawnmower.html I was going to do my wheels with out a speed controller, but after doing the math I figured out that it would go 10 MPH way to fast for mowing lawn(IF YOU WANT IT TO LOOK NICE!)that is why my wiring diagramn dosnt have a speed controller in it. What you need to do is connect the electronic speed controller to the battery and then to the throttle channel on the radio (if it is not electronic and it is manuel throttel type like from a scooter, just connect it with a servo to spin the throttle) from the controller you would split off to two center-off momentary switches controlled by servos (take a reversable cordlles screwdriver apart to see how to wire) you shouldnt have a problem with the conttroller wearing out from the starting current because if your conttroller is 50 amps your motors should only pull 2 to 5 amps and probably no more than 15 amps when starting. from the switches it would go to the motors. now with the conttroller you should have what is called a trim pot or trim nob it should say what channel each pot controlles, moving this should allow for the controller to stop in the middle position. EXPERIMENT with it! as for the controller ""BEC"" 3 v battery eliminator circuit, I think this may be a switch to turn the controller on and off, thats what mine do. Please tell me if this is helpfull!"
yahoo,"First your wife, explaining to her that while her mom is right on some things, there are other things that you would like to have in your own way. If that doesnt work, confront both of them together when you get a chance to be with them together. Confronting your mom in law alone wouldnt be a good idea, cos' she may tell your wife that you are accusing her of things she hasnt the slightest idea on. \\\\n\\\\nWhat does she come and tell you 'to do and not to do' ?? Are they major decisions of your life together, or just simple things like what to buy around the house, shopping, or some other small issues. Either way, i know it might be tiring. When you do confront your wife, simply ask her if she ever thought how you feel certain things should be done, and without accusing, make her understand that it is really tiring when you have to always listen and do things her mom tells you both to do - always.\\\\n\\\\nP.S. I agree with pathfinder. Assertiveness is good in situations like this."
llm,"First your wife, explaining to her that while her mom is right on some things, there are other things that you would like to have in your own way. If that doesnt work, confront both of them together when you get a chance to be with them together. Confronting your mom in law alone wouldnt be a good idea, cos' she may tell your wife that you are accusing her of things she hasnt the slightest idea on. \\\\n\\\\nWhat does she come and tell you 'to do and not to do' ?? Are they major decisions of your life together, or just simple things like what to buy around the house, shopping, or some other small issues. Either way, i know it might be tiring. When you do confront your wife, simply ask her if she ever thought how you feel certain things should be done, and without accusing, make her understand that it is really tiring when you have to always listen and do things her mom tells you both to do - always.\\\\n\\\\nP.S. I agree with pathfinder. Assertiveness is good in situations like this."
yahoo,"OMG - WHERE on earth did Meshelle get her information?!\\\\n\\\\n  Cellulose is an indigestible fiber that can be ingested. Cellulose itself does not absorb fat. It passes through your digestive system relatively unchanged.  Cellulose is used by many dieters because it add's ""bulk"" to the system and makes you feel full. It is also widely used in fiber-type laxatives (like Fibercon)\\\\n\\\\nThere are compounds that do absorb fat - available only by PRESCRIPTION (The drug is called Xenical and will absorb about 30% of dietary fat in the colon).  There are lots of over the counter diet aids that will claim to absorb fat (Chitosan is one) but clinical trials have proven that this is an out and out lie.  They can continue to claim this in their advertising though because they are considered ""dietary supplements"" and not drugs. Don't waste your money.\\\\n\\\\nNow CELLULITE, is another story. It's the dimpled areas on our butts and thighs. It causes by a tightening of the connective tissue the crisscrosses everyone's fat.  It is hereditary and gets worse as we age. It can be broken down mechanically by a process called ENDERMOLOGY. (Basically a big vibrating roller is massaged across the areas to break down the cellulite."
llm,"OMG - WHERE on earth did Meshelle get her information?!\\\\n\\\\n  Cellulose is an indigestible fiber that can be ingested. Cellulose itself does not absorb fat. It passes through your digestive system relatively unchanged.  Cellulose is used by many dieters because it add's ""bulk"" to the system and makes you feel full. It is also widely used in fiber-type laxatives (like Fibercon)\\\\n\\\\nThere are compounds that do absorb fat - available only by PRESCRIPTION (The drug is called Xenical and will absorb about 30% of dietary fat in the colon).  There are lots of over the counter diet aids that will claim to absorb fat (Chitosan is one) but clinical trials have proven that this is an out and out lie.  They can continue to claim this in their advertising though because they are considered ""dietary supplements"" and not drugs. Don't waste your money.\\\\n\\\\nNow CELLULITE, is another story. It's the dimpled areas on our butts and thighs. It causes by a tightening of the connective tissue the crisscrosses everyone's fat.  It is hereditary and gets worse as we age. It can be broken down mechanically by a process called ENDERMOLOGY. (Basically a big vibrating roller is massaged across the areas to break down the cellulite."
yahoo,"She should go to her gynecologist right away. Some yeast infections need extra strength medication only a doctor can prescribe and she should have tests done because it may not be just a yeast infection. Is she taking antibiotics? This can bring on  a yeast infection. Also, a home remedy that my friend swears by is a plain yogurt douche. My friend says that rubbing it on the irritated skin, soothes it too. She should wear loose clothing and cotton panties. Yeast infections can occur due to stress. Make sure she is not too stressed."
llm,"She should go to her gynecologist right away. Some yeast infections need extra strength medication only a doctor can prescribe and she should have tests done because it may not be just a yeast infection. Is she taking antibiotics? This can bring on  a yeast infection. Also, a home remedy that my friend swears by is a plain yogurt douche. My friend says that rubbing it on the irritated skin, soothes it too. She should wear loose clothing and cotton panties. Yeast infections can occur due to stress. Make sure she is not too stressed."
yahoo,"stattracker is down, the feed from the nba is bugging out....Y! will get it fixed...\\\\n-nny"
llm,"stattracker is down, the feed from the nba is bugging out....Y! will get it fixed...\\\\n-nny"
yahoo,just tell her.....i get really sick of waiting..LoL!
llm,just tell her.....i get really sick of waiting..LoL!
yahoo,"I get what you're saying, I've read tons of questions on yahoo answers asking how come black people can say the ""n"" word and how come white people can't. That is a stupid question with an obvious answer. When the term is used by a black person it's a term of endearment. When a white person uses it, it's just pure racism. Personally, I think no one should use the word."
llm,"I get what you're saying, I've read tons of questions on yahoo answers asking how come black people can say the ""n"" word and how come white people can't. That is a stupid question with an obvious answer. When the term is used by a black person it's a term of endearment. When a white person uses it, it's just pure racism. Personally, I think no one should use the word."
yahoo,U can do home based job thru internet. I am also doing home based data conversion job. To get this job u should be resident of India and proficient in ms word.
llm,U can do home based job thru internet. I am also doing home based data conversion job. To get this job u should be resident of India and proficient in ms word.
yahoo,"Check out this website:\\\\nhttp://www.elcomsoft.com/help/aefsdr/index.html?page=scan_for_encrypted_files.htm\\\\n\\\\nIt will give you a visual and explanation of your problem and how to decrypt.\\\\n\\\\nIts just part of the Windows help file. If you really need it, I can just send it to you since this file will work on both 98 and XP.\\\\n\\\\nContact me if you really need it, but I dont think its very important unless you use Windows Help often.\\\\n\\\\nIf you have the windows 98 CD then you can basically install it back in or try this:\\\\nIf the folder C:&#92;Windows&#92;Options&#92;Cabs exist in the computer, you can run SFC and select ""Extract one file from the installation Disk"". Type Windows.chm, click on Start. Extract the file from C:&#92;Windows&#92;Options&#92;Cabs into the C:&#92;Windows&#92;Help folder."
llm,"Check out this website:\\\\nhttp://www.elcomsoft.com/help/aefsdr/index.html?page=scan_for_encrypted_files.htm\\\\n\\\\nIt will give you a visual and explanation of your problem and how to decrypt.\\\\n\\\\nIts just part of the Windows help file. If you really need it, I can just send it to you since this file will work on both 98 and XP.\\\\n\\\\nContact me if you really need it, but I dont think its very important unless you use Windows Help often.\\\\n\\\\nIf you have the windows 98 CD then you can basically install it back in or try this:\\\\nIf the folder C:&#92;Windows&#92;Options&#92;Cabs exist in the computer, you can run SFC and select ""Extract one file from the installation Disk"". Type Windows.chm, click on Start. Extract the file from C:&#92;Windows&#92;Options&#92;Cabs into the C:&#92;Windows&#92;Help folder."
yahoo,"Economics is important because it is the philosophical approach of redistributing the scarce resources in order to achieve the maximization of social welfare. The essence of economics is achieving Pareto efficiency, the point where you cannot make someone better off without making someone else worse off. \\\\n\\\\nI hope my answer is satisfying."
llm,"Economics is important because it is the philosophical approach of redistributing the scarce resources in order to achieve the maximization of social welfare. The essence of economics is achieving Pareto efficiency, the point where you cannot make someone better off without making someone else worse off. \\\\n\\\\nI hope my answer is satisfying."
